,Googe,Non-Google
"(-0.001, 0.25]",0.23020499050363483,0.7272250966009561
"(0.25, 0.5]",0.11225358569650927,0.13589626039688257
"(0.5, 0.75]",0.1051149387648176,0.0613661667430742
"(0.75, 1.0]",0.5524264850350383,0.07551247625908704
